New York,14830192
California,10586223
Pennsylvania,10498012
Illinois,8712176
Ohio,7946627
Texas,7748000
Michigan,6421000
New Jersey,4860000
Massachusetts,4690000
North Carolina,4060000
Indiana,3952000
Missouri,3946000
Georgia,3451000
Wisconsin,3449000
Tennessee,3304000
Virginia,3262000
Alabama,3060000
Minnesota,2995000
Kentucky,2957000
Florida,2821000
Louisiana,2701000
Iowa,2621000
Washington,2386000
Maryland,2376000
Oklahoma,2193000
Mississippi,2169000
South Carolina,2119000
Connecticut,2007280
West Virginia,2006000
Kansas,1915000
Arkansas,1906000
Oregon,1532000
Colorado,1337000
Nebraska,1324000
Maine,911000
Rhode Island,779000
Arizona,756000
Utah,696000
New Mexico,687000
South Dakota,652000
North Dakota,616000
Montana,598000
Idaho,592000
New Hampshire,531000
Vermont,377000
Delaware,321000
Wyoming,292000
Nevada,162000
