New York ,16827000,,
California ,15850000,,
Pennsylvania ,11343000,,
Illinois ,10113000,,
Ohio ,9739000,,
Texas ,9617000,,
Michigan ,7848000,,
New Jersey ,6099000,,
Massachusetts ,5167000,,
Florida ,4951560,,
Indiana ,4677000,,
North Carolina ,4563000,,
Missouri ,4331000,,
Virginia ,3978000,,
Wisconsin ,3964000,,
Georgia ,3949000,,
Tennessee ,3573000,,
Minnesota ,3426000,,
Alabama ,3273000,,
Louisiana ,3270000,,
Maryland ,3116000,,
Kentucky ,3047000,,
Washington ,2860000,,
Iowa ,2761000,,
Connecticut ,2548000,,
South Carolina ,2392000,,
Oklahoma ,2333000,,
Mississippi ,2180000,,
Kansas ,2178000,,
West Virginia ,1857000,,
Arkansas ,1788000,,
Oregon ,1773000,,
Colorado ,1758000,,
Nebraska ,1414000,,
Arizona ,1318000,,
Maine ,974000,,
New Mexico ,958000,,
Utah ,896000,,
Rhode Island ,857000,,
South Dakota ,682000,,
Montana ,678000,,
Idaho ,671000,,
Hawaii ,642000,,
North Dakota ,634000,,
New Hampshire ,609000,,
Delaware ,449000,,
Vermont ,391000,,
Wyoming ,338000,,
Nevada ,280000,,
Alaska ,200000,,
